desert,forest,grassland,tundra,desert_pred,forest_pred,grassland_pred,tundra_pred,desert_label,forest_label,grassland_label,tundra_label
0,0,1,0,0.6483964565742185,0.6150516866318588,0.992046053441463,0.5,0.0,0.0,1.0,0.0
1,0,0,0,0.9969338601654144,0.5374417601991478,0.6357159420321622,0.5,1.0,0.0,0.0,0.0
0,1,0,0,0.7883542924516457,0.539962699919963,0.9351274316440776,0.617764107350318,1.0,0.0,0.0,0.0
1,0,0,0,0.9941964748679932,0.5270192834707642,0.6860466343239835,0.5,1.0,0.0,0.0,0.0
0,0,0,1,0.6280576559409474,0.5,0.5,0.9967090248438424,0.0,0.0,0.0,1.0
0,1,0,0,0.5625620248330555,0.979325781450094,0.6150121858790464,0.5453100364773693,0.0,1.0,0.0,0.0
0,0,0,1,0.6220322723987834,0.5,0.5,0.9975417250236156,0.0,0.0,0.0,1.0
0,1,0,0,0.5,0.6732056778746021,0.9670706023674516,0.7179066902286789,0.0,0.0,1.0,0.0
0,1,0,0,0.5138982913950254,0.9906738678136228,0.5307723908156693,0.592560611032138,0.0,1.0,0.0,0.0
0,0,0,1,0.6966107711819197,0.5,0.5,0.995541377337678,0.0,0.0,0.0,1.0
0,0,0,1,0.5944449128411422,0.5199384850186459,0.5,0.9937672318937876,0.0,0.0,0.0,1.0
0,0,1,0,0.5723025322234666,0.6112407575468162,0.9939637861105772,0.5,0.0,0.0,1.0,0.0
1,0,0,0,0.991345858220279,0.5383596790143732,0.6402344074451419,0.5480630310753434,1.0,0.0,0.0,0.0
0,0,1,0,0.6177424675099535,0.5,0.9978728598218012,0.5,0.0,0.0,1.0,0.0
1,0,0,0,0.9920763487159774,0.5047062884605009,0.6472516657777543,0.6342094222305957,1.0,0.0,0.0,0.0
0,0,0,1,0.5,0.5873803435142982,0.7037038050135851,0.9932179164238848,0.0,0.0,0.0,1.0
0,1,0,0,0.5,0.9919215108214524,0.5578423773260993,0.55881421149776,0.0,1.0,0.0,0.0
0,0,1,0,0.8630967506158613,0.7914185975016806,0.5788965641355956,0.6445467793401192,0.0,0.0,1.0,0.0
0,0,1,0,0.614965845711124,0.5715218474508124,0.9952826830887986,0.5,0.0,0.0,1.0,0.0
1,0,0,0,0.99680759582044,0.5359451681990063,0.6296381669331618,0.5,1.0,0.0,0.0,0.0
0,1,0,0,0.5,0.9956743652547398,0.5687009746285072,0.6149762754298095,0.0,1.0,0.0,0.0
